datum,colli,zendingen,feestdag
2023-01-02,820,31,0
2023-01-03,821,37,0
2023-01-04,737,35,0
2023-01-05,589,25,0
2023-01-06,529,21,0
2023-01-07,180,8,0
2023-01-08,14,1,0
2023-01-09,808,30,0
2023-01-10,770,31,0
2023-01-11,516,25,0
2023-01-12,729,32,0
2023-01-13,540,25,0
2023-01-14,205,8,0
2023-01-15,12,1,0
2023-01-16,778,33,0
2023-01-17,747,29,0
2023-01-18,706,29,0
2023-01-19,608,29,0
2023-01-20,537,24,0
2023-01-21,205,8,0
2023-01-22,11,0,0
2023-01-23,678,26,0
2023-01-24,744,32,0
2023-01-25,602,30,0
2023-01-26,493,17,0
2023-01-27,499,20,0
2023-01-28,182,7,0
2023-01-29,11,0,0
2023-01-30,684,33,0
2023-01-31,720,31,0
2023-02-01,718,29,0
2023-02-02,613,23,0
2023-02-03,507,21,0
2023-02-04,201,14,0
2023-02-05,14,1,0
2023-02-06,799,32,0
2023-02-07,767,28,0
2023-02-08,736,28,0
2023-02-09,621,20,0
2023-02-10,509,18,0
2023-02-11,203,7,0
2023-02-12,13,0,0
2023-02-13,937,47,0
2023-02-14,629,24,0
2023-02-15,620,24,0
2023-02-16,585,26,0
2023-02-17,458,18,0
2023-02-18,201,8,0
2023-02-19,14,1,0
2023-02-20,780,33,0
2023-02-21,858,37,0
2023-02-22,741,30,0
2023-02-23,700,31,0
2023-02-24,601,23,0
2023-02-25,223,12,0
2023-02-26,11,0,0
2023-02-27,922,49,0
2023-02-28,808,36,0
2023-03-01,558,22,0
2023-03-02,692,29,0
2023-03-03,571,24,0
2023-03-04,223,9,0
2023-03-05,13,0,0
2023-03-06,879,43,0
2023-03-07,802,30,0
2023-03-08,638,33,0
2023-03-09,726,32,0
2023-03-10,592,24,0
2023-03-11,221,10,0
2023-03-12,13,1,0
2023-03-13,1008,38,0
2023-03-14,843,41,0
2023-03-15,708,30,0
2023-03-16,745,33,0
2023-03-17,698,38,0
2023-03-18,257,11,0
2023-03-19,12,1,0
2023-03-20,1011,36,0
2023-03-21,850,40,0
2023-03-22,732,25,0
2023-03-23,634,28,0
2023-03-24,715,24,0
2023-03-25,189,7,0
2023-03-26,16,1,0
2023-03-27,1079,41,0
2023-03-28,683,26,0
2023-03-29,732,26,0
2023-03-30,625,21,0
2023-03-31,661,29,0
2023-04-01,263,13,0
2023-04-02,18,1,0
2023-04-03,779,34,0
2023-04-04,796,30,0
2023-04-05,837,33,0
2023-04-06,879,36,0
2023-04-07,0,0,1
2023-04-08,307,14,0
2023-04-09,0,0,1
2023-04-10,0,0,1
2023-04-11,1236,66,0
2023-04-12,732,28,0
2023-04-13,801,41,0
2023-04-14,700,30,0
2023-04-15,234,11,0
2023-04-16,15,1,0
2023-04-17,874,42,0
2023-04-18,846,41,0
2023-04-19,926,40,0
2023-04-20,771,37,0
2023-04-21,584,19,0
2023-04-22,279,12,0
2023-04-23,17,1,0
2023-04-24,1286,58,0
2023-04-25,923,44,0
2023-04-26,795,48,0
2023-04-27,0,0,1
2023-04-28,1181,47,0
2023-04-29,319,16,0
2023-04-30,15,1,0
2023-05-01,993,49,0
2023-05-02,1000,42,0
2023-05-03,779,31,0
2023-05-04,802,32,0
