order_id,klant_id,stad,land,datum_besteld,product,categorie,aantal,stuksprijs,korting_pct,omzet,betaalmethode,beloofde_levertijd,levertijd_dagen,klachtmelding,te_laat
ORD-102334,K1153,den haag,NL,13-06-2025,Ibuprofen 400mg,OTC,21,2.33,5.0,46.48,incasso,4,4.4,nee,1
ORD-101104,K1119,Rotterdam,NL,13-08-2025,Paracetamol 500mg,OTC,4,1.9,,7.6,incasso,4,3.4,nee,0
ORD-100626,K1177,Utrecht ,NL,2025-02-17,Vitamine D3 25mcg,OTC,4,7.48,0.0,29.92,creditcard,4,2.5,nee,0
ORD-102120,K1135,Zwolle,NL,2025-04-06,Insuline pen,Koelketen,24,40.71,10.0,879.34,incasso,6,4.0,nee,0
ORD-101192,K1109,Maastricht,NL,2025-05-19,Simvastatine 40mg,Rx,19,3.75,20.0,57.0,incasso,4,,nee,0
ORD-101764,K1058,Maastricht,NL,2025-01-21,Amoxicilline 250mg,Rx,17,6.76,5.0,109.17,creditcard,4,3.1,nee,0
ORD-101208,K1147,Groningen,NL,2025-04-10,Amoxicilline 250mg,Rx,21,6.7,15.0,119.6,factuur,4,2.3,nee,0
ORD-101585,K1101,A'dam,NL,2025-11-19,Simvastatine 40mg,Rx,29,3.89,0.0,112.81,vooruitbetaling,4,1.0,nee,0
ORD-100482,K1102,Zwolle,NL,2025-07-31,Metformine 850mg,Rx,17,4.13,0.0,70.21,factuur,4,1.0,nee,0
ORD-101851,K1099,den haag,NL,20/08/25,Metformine 850mg,Rx,7,4.11,,28.77,factuur,4,,nee,0
ORD-100454,K1052,Utrecht,NL,26/10/25,Salbutamol inhalator,Rx,92,17.75,20.0,1306.4,incasso,4,5.3,ja,1
ORD-100557,K1045,Gent,BE,24/02/25,Levothyroxine 50mcg,Rx,3,3.06,10.0,8.26,vooruitbetaling,4,2.3,nee,0
ORD-101879,K1031,Eindhoven,NL,2025-03-02,Paracetamol 500mg,OTC,7,1.86,0.0,13.02,incasso,4,3.1,nee,0
ORD-101200,K1150,Maastricht,NL,21/08/25,Omeprazol 20mg,Rx,9,5.08,15.0,38.86,creditcard,4,1.4,nee,0
ORD-101748,K1009,UTRECHT,NL,2025-07-07,Vitamine D3 25mcg,OTC,32,7.49,0.0,239.68,incasso,4,3.0,nee,0
ORD-100212,K1103,Utrecht,NL,17/05/25,Vitamine D3 25mcg,OTC,18,7.23,0.0,351.44,incasso,4,2.5,nee,0
ORD-100300,K1173,rotterdam,NL,11/02/25,Omeprazol 20mg,Rx,20,5.04,10.0,90.72,incasso,4,1.0,nee,0
ORD-100349,K1056,utrecht,NL,2025-11-25,Paracetamol 500mg,OTC,17,1.82,0.0,30.94,creditcard,4,3.7,nee,0
ORD-100938,K1139,antwerpen,BEL,20-07-2025,Salbutamol inhalator,Rx,72,17.43,0.0,1254.96,incasso,4,4.2,ja,1
ORD-100942,K1153,Eindhoven,NL,2025-09-11,Paracetamol 500mg,OTC,19,1.89,0.0,35.91,factuur,4,3.5,nee,0
ORD-100410,K1178,Antwerpen,BEL,2025-01-17,Metformine 850mg,Rx,24,4.24,15.0,86.5,factuur,4,1.7,nee,0
ORD-102017,K1140,'s-Gravenhage,NL,2025-05-19,Paracetamol 500mg,OTC,8,1.9,20.0,12.16,factuur,4,3.6,nee,0
ORD-101330,K1169,A'dam,NL,2025-07-02,Metformine 850mg,Rx,24,4.33,0.0,103.92,,4,2.4,nee,0
ORD-100325,K1142,Zwolle,NL,2025-03-08,Vitamine D3 25mcg,OTC,35,7.58,15.0,225.5,factuur,4,5.2,nee,1
ORD-101032,K1079,Den  Haag,NL,2025-04-04,Vitamine D3 25mcg,OTC,11,7.34,0.0,80.74,vooruitbetaling,4,1.9,nee,0
ORD-101402,K1154,Den Haag,NL,2025-04-28,Paracetamol 500mg,OTC,6,1.83,10.0,9.88,creditcard,4,2.9,nee,0
ORD-102364,K1023,Den  Haag,NL,2025-02-05,Vitamine D3 25mcg,OTC,41,7.05,10.0,260.15,creditcard,4,2.3,nee,0
ORD-101820,K1076,Groningen,NL,01-11-2025,Amoxicilline 250mg,Rx,118,6.59,0.0,777.62,incasso,4,4.0,nee,1
ORD-101611,K1091,'s-Gravenhage,NL,27/03/25,Insuline pen,Koelketen,19,43.96,0.0,835.24,creditcard,6,5.1,nee,0
ORD-101671,K1169,A'dam,NL,19-09-2025,Simvastatine 40mg,Rx,19,4.04,15.0,65.25,,4,3.8,nee,0
ORD-100456,K1160,A'dam,NL,17-08-2025,Amoxicilline 250mg,Rx,9,6.55,15.0,50.11,,4,3.2,nee,0
