order_id,klant_id,stad,categorie,aantal,stuksprijs,korting_pct,beloofde_levertijd,datum_besteld
ORD-101247,K1004,Rotterdam,Rx,12.0,4.93,0.0,4,2025-07-12
ORD-101293,K1115,Eindhoven,OTC,6.0,1.84,0.0,4,2025-06-10
ORD-101956,K1129,Eindhoven,Rx,54.0,2.99,20.0,4,2025-11-30
ORD-101782,K1024,Utrecht,OTC,25.0,1.93,15.0,4,2025-07-30
ORD-100592,K1125,Utrecht,Rx,16.0,6.85,15.0,4,2025-09-03
ORD-101026,K1069,Antwerpen,Rx,88.0,17.62,5.0,4,2025-01-24
ORD-100170,K1012,Den Haag,Koelketen,9.0,40.84,0.0,6,2025-10-23
ORD-102257,K1092,Den Haag,Rx,24.0,6.67,0.0,4,2025-04-05
ORD-101577,K1172,Utrecht,Rx,15.0,4.24,0.0,4,2025-07-16
ORD-100125,K1156,Utrecht,OTC,,1.84,0.0,4,2025-10-15
ORD-100351,K1107,Utrecht,OTC,25.0,1.85,10.0,4,2025-07-30
ORD-100818,K1048,Den Haag,Rx,18.0,3.96,10.0,4,2025-04-18
ORD-101536,K1072,Utrecht,Rx,38.0,4.22,5.0,4,2025-05-25
ORD-100652,K1090,onbekend,Rx,9.0,3.97,0.0,4,2025-09-17
ORD-102182,K1064,Amsterdam,Koelketen,7.0,43.95,0.0,6,2025-07-07
ORD-102172,K1045,Maastricht,OTC,,2.37,0.0,4,2025-08-14
ORD-101064,K1009,Eindhoven,OTC,52.0,1.85,5.0,4,2025-05-13
ORD-100140,K1061,Zwolle,Rx,14.0,2.99,0.0,4,2025-04-10
ORD-101217,K1099,Amsterdam,OTC,12.0,1.87,5.0,4,2025-06-13
ORD-100174,K1046,Den Haag,OTC,27.0,7.54,15.0,4,2025-01-23
ORD-100349,K1056,Utrecht,OTC,17.0,1.82,0.0,4,2025-11-25
ORD-102165,K1092,Eindhoven,Koelketen,7.0,43.52,5.0,6,2025-05-03
ORD-100496,K1166,Eindhoven,OTC,14.0,2.31,15.0,4,2025-05-24
ORD-100565,K1132,onbekend,OTC,9.0,7.31,15.0,4,2025-09-05
ORD-100673,K1168,Amsterdam,Rx,9.0,4.23,5.0,4,2025-02-17
ORD-101219,K1036,Utrecht,Rx,5.0,3.91,0.0,4,2025-11-28
ORD-100799,K1078,Antwerpen,Rx,94.0,3.24,0.0,4,2025-09-23
ORD-101378,K1027,Utrecht,Rx,51.0,3.08,5.0,4,2025-11-17
ORD-100663,K1042,Gent,Rx,12.0,18.63,10.0,4,2025-05-11
ORD-101806,K1135,Utrecht,Rx,34.0,4.94,15.0,4,2025-04-07
ORD-101970,K1150,Den Haag,Rx,19.0,4.02,0.0,4,2025-02-15
ORD-101076,K1170,Rotterdam,Rx,19.0,18.53,10.0,4,2025-09-19
ORD-102121,K1072,Amsterdam,OTC,,2.51,0.0,4,2025-08-29
ORD-100191,K1123,Zwolle,OTC,42.0,1.78,10.0,4,2025-03-18
ORD-101770,K1157,Eindhoven,Rx,18.0,4.28,20.0,4,2025-11-21
ORD-101109,K1013,Zwolle,OTC,62.0,2.46,5.0,4,2025-08-31
ORD-100371,K1077,Zwolle,OTC,31.0,2.45,20.0,4,2025-09-06
ORD-100398,K1048,Den Haag,OTC,38.0,7.36,0.0,4,2025-05-04
ORD-100258,K1123,Amsterdam,OTC,13.0,7.24,15.0,4,2025-10-07
ORD-101046,K1129,Rotterdam,Rx,15.0,6.73,0.0,4,2025-10-03
ORD-102176,K1028,Antwerpen,Rx,26.0,4.21,0.0,4,2025-06-01
ORD-101375,K1034,Antwerpen,OTC,12.0,2.52,10.0,4,2025-10-02
ORD-102214,K1087,Rotterdam,Rx,6.0,4.02,0.0,4,2025-03-13
ORD-101999,K1091,onbekend,Rx,18.0,19.05,10.0,4,2025-04-03
ORD-101767,K1151,Amsterdam,OTC,81.0,2.42,10.0,4,2025-10-01
ORD-100158,K1156,Utrecht,Rx,39.0,4.1,0.0,4,2025-05-07
ORD-100493,K1110,Amsterdam,Rx,26.0,3.87,0.0,4,2025-07-06
ORD-100406,K1129,Utrecht,Rx,33.0,4.42,10.0,4,2025-09-20
ORD-101422,K1142,Utrecht,Rx,64.0,18.15,15.0,4,2025-09-26
ORD-101477,K1061,Antwerpen,Rx,11.0,5.28,0.0,4,2025-09-12
